title,address,content,url,image,create_date,update_date,start_day,end_day,open_time,close_time,category_id
뉴진스 해린 생일 카페: 카페 플러피,서울특별시 마포구 와우산로13길 49-13 1층 좌측 플러피,"♣️𝘾𝘼𝙏𝙉𝙄𝙋𝙕_𝙄𝙉_𝙒𝙊𝙉𝘿𝙀𝙍𝙇𝘼𝙉𝘿♣️

𝙢𝙞𝙣𝙟𝙞 &amp; 𝙝𝙖𝙚𝙧𝙞𝙣 𝙗𝙞𝙧𝙩𝙝𝙙𝙖𝙮 𝙘𝙖𝙛𝙚 𝙚𝙫𝙚𝙣𝙩

뉴진스 민지 &amp; 해린의 생일을 맞이해 생일 카페를 진행합니다.
캣닢즈의 생일을 축하해주세요

♥️카페 플러피
♥️23.05.05 - 23.05.07

#오월은_캣닢즈
#CATNIPZ_IN_WONDERLAND",https://twitter.com/Catnipz_land/status/1646042790965710848,,,,2023-05-05,2023-05-07,12:00:00,19:00:00,2
뉴진스 민지 생일 이벤트: 온유어사이드,서울특별시 마포구 와우산로29라길 19 2층 온유어사이드,":¨·.·¨:
`·. ʜᴀᴘᴘʏ ᴍɪɴᴊɪ &amp; ʜᴀᴇʀɪɴ ᴅᴀʏ
ʙɪʀᴛʜᴅᴀʏ ғʟᴏᴡᴇʀ sʜᴏᴘ ᴇᴠᴇɴᴛ

🫧 ᴏɴ ʏᴏᴜʀ sɪᴅᴇ
🗓️ 23.05.07 - 23.05.08

#완연한_봄에_피어난_소녀들에게",https://twitter.com/05_mj_hr/status/1645014318944223232,,,,2023-05-07,2023-05-08,11:00:00,20:00:00,3
뉴진스 해린 생일 이벤트: 온유어사이드,서울특별시 마포구 와우산로29라길 19 2층 온유어사이드,":¨·.·¨:
`·. ʜᴀᴘᴘʏ ᴍɪɴᴊɪ &amp; ʜᴀᴇʀɪɴ ᴅᴀʏ
ʙɪʀᴛʜᴅᴀʏ ғʟᴏᴡᴇʀ sʜᴏᴘ ᴇᴠᴇɴᴛ

🫧 ᴏɴ ʏᴏᴜʀ sɪᴅᴇ
🗓️ 23.05.07 - 23.05.08

#완연한_봄에_피어난_소녀들에게",https://twitter.com/05_mj_hr/status/1645014318944223232,,,,2023-05-07,2023-05-08,11:00:00,20:00:00,3
뉴진스 민지 생일 카페: 카페소공원,서울특별시 마포구 어울마당로5길 52 2층 길가쪽 카페,"🧸 𝐃𝐞𝐚𝐫 𝐁𝐞𝐚𝐫, 𝐃𝐞𝐚𝐫 𝐃𝐢𝐚𝐫𝐲 🧸

𝟸𝟶𝟸𝟹 𝙼𝚒𝚗𝚓𝚒 𝙱𝚒𝚛𝚝𝚑𝚍𝚊𝚢 𝙲𝚊𝚏𝚎 𝙴𝚟𝚎𝚗𝚝

📍 합정 카페 소공원
🗓 5/5(금)~5/7(일)

#곰날의_봄을_좋아하세요
#Dear_Bear_Dear_Diary

#뉴진스 #민지 #NewJeans #Minji",https://twitter.com/DearBear507/status/1643436076978290688,,,,2023-05-05,2023-05-07,11:30:00,20:00:00,2
뉴진스 민지 생일 카페: 모두다토끼,서울특별시 마포구 와우산로15길 40 2층 202호,"𝙉𝙀𝙒𝙅𝙀𝘼𝙉𝙎 𝙈𝙄𝙉𝙅𝙄'𝙨 𝘽-𝘿𝘼𝙔 𝙀𝙑𝙀𝙉𝙏

민지의 생일을 맞아 생일카페 이벤트를 준비했습니다.🩷

(광고)
(주)캣닙즈토이에서 
민지 인형을 출시합니다🎀

🗓 2023.5.4-7
📍 카페 모두다토끼

#캣닙즈토이_민지인형출시
#catnipztoy_minjidoll
#MINJI #민지",https://twitter.com/CNZ_TOY/status/1645727033216102401,,,,2023-05-04,2023-05-07,11:00:00,20:00:00,2
뉴진스 민지 생일 카페: 카페몽글 하늘점,서울특별시 마포구 와우산로29라길 21 2층,"🍀Hαρρყ Mιɳʝι Dαყ🍀 

-
🍏 23.05.06 ~ 23.05.07
🍏 카페몽글 하늘점

사랑하는 곰아지 민지의 생일을 맞아 카페이벤트를 열게되었습니다 !!

#밍지_귀여워_평랑해
-

#Newjeans #Minji #뉴진스 #민지",https://twitter.com/Minji__Day/status/1646856970400587776,,,,2023-05-06,2023-05-07,11:30:00,18:30:00,2
뉴진스 민지 생일 카페: 로스터제임스 커피랩,서울특별시 마포구 월드컵로15길 23 1층,"❤#NewJeans #Minji and #Haerin's Birthday Cafe Event❤

Come celebrate Minji and Haerin's birthdays with us and get your hands on some special #Minidol merch

🕒 June 12th~15th
 📍 Roaster James Coffee Lab, Mangwon-dong, Seoul

#뉴진스 #민지 #해린
#캣닢즈_생일이_이렇게_행복한거야",https://twitter.com/kstargift/status/1648243459164340224,,,,2023-05-12,2023-05-15,11:00:00,20:00:00,2
뉴진스 해린 생일 카페: 로스터제임스 커피랩,서울특별시 마포구 월드컵로15길 23 1층,"❤#NewJeans #Minji and #Haerin's Birthday Cafe Event❤

Come celebrate Minji and Haerin's birthdays with us and get your hands on some special #Minidol merch

🕒 June 12th~15th
 📍 Roaster James Coffee Lab, Mangwon-dong, Seoul

#뉴진스 #민지 #해린
#캣닢즈_생일이_이렇게_행복한거야",https://twitter.com/kstargift/status/1648243459164340224,,,,2023-05-12,2023-05-15,11:00:00,20:00:00,2
뉴진스 민지 생일 카페: 카페벤,부산광역시 중구 비프광장로 19 1층(부평동1가),"뉴진스 민지와 해린이의 생일을 축하하기 위해 부산에서 생일 카페 이벤트를 진행합니다
해당공지 RT해주신 분들 중 추첨을 통해 소정의 선물을 보내드립니다

📍부산카페벤
🗓2023.05.08-2023.05.11

#뉴진스 #NewJeans
#민지언니는_어디서든_이뻐요
#강해린_생일이다
#생일엔_버거대신_케이크먹어요",https://twitter.com/new_cherry5/status/1648254680244563969,,,,2023-05-08,2023-05-11,11:00:00,20:00:00,2
뉴진스 해린 생일 카페: 카페벤,부산광역시 중구 비프광장로 19 1층(부평동1가),"뉴진스 민지와 해린이의 생일을 축하하기 위해 부산에서 생일 카페 이벤트를 진행합니다
해당공지 RT해주신 분들 중 추첨을 통해 소정의 선물을 보내드립니다

📍부산카페벤
🗓2023.05.08-2023.05.11

#뉴진스 #NewJeans
#민지언니는_어디서든_이뻐요
#강해린_생일이다
#생일엔_버거대신_케이크먹어요",https://twitter.com/new_cherry5/status/1648254680244563969,,,,2023-05-08,2023-05-11,11:00:00,20:00:00,2
뉴진스 민지 생일 카페: 아이오쓰리 에이스하이엔드점,서울특별시 성동구 성수이로10길 14 103호 아이오쓰리,"( 首夏 )
 : 𝑇ℎ𝑒 𝑏𝑒𝑔𝑖𝑛𝑛𝑖𝑛𝑔 𝑜𝑓 𝑠𝑢𝑚𝑚𝑒𝑟, 𝑎𝑛𝑑 𝑡𝑜𝑔𝑒𝑡ℎ𝑒𝑟

-

💙 2023.05.05 ~ 05.07
🌊 아이오쓰리 에이스 하이엔드점

민지의 20번째 생일을 맞이하여 생일 카페 이벤트를 진행합니다.

#summer_with_minji
#초여름의_시작을_민지와_함께",https://twitter.com/coluvx4/status/1648647072038653959,,,,2023-05-05,2023-05-07,11:00:00,19:30:00,2
뉴진스 민지 생일 카페: 카페프루티,서울특별시 서대문구 연세로12길 22 2층,"˗ˋˏ❤ˎˊ˗
𝟸𝟶𝟸𝟹 𝙼𝙸𝙽𝙹𝙸 𝙱-𝙳𝙰𝚈 𝙴𝚅𝙴𝙽𝚃

𝚢𝚘𝚞'𝚛𝚎 𝚖𝚢____
-

민지의 생일을 축하하기 위해 생일 카페 이벤트를 준비했습니다.

💖 2023. 05. 05 ~ 2023. 05. 07
💖신촌 카페프루티

#𝚢𝚘𝚞'𝚛𝚎 𝚖𝚢_

자세한 내용은 하단의 공지를 참고해주세요՞ o̴̶̷̤ ̫ o̴̶̷̤ ՞",https://twitter.com/ador_moments/status/1650519939197939714,,,,2023-05-05,2023-05-07,11:00:00,21:00:00,2
