title,address,content,url,image,create date,update date,start day,end day,open time,close time,category id
엔하이픈 정원 생일 이벤트: 멜랑쥬,서울특별시 마포구 와우산로27길 14 102호,"𝐩𝐚𝐢𝐧𝐭𝐢𝐧𝐠 𝐭𝐡𝐞 𝐠𝐚𝐫𝐝𝐞𝐧
-
𝟸𝟶𝟸𝟹 𝙱𝚒𝚛𝚝𝚑𝚍𝚊𝚢 𝙵𝚕𝚘𝚠𝚎𝚛 𝚜𝚑𝚘𝚙 𝙴𝚟𝚎𝚗𝚝
𝚏𝚘𝚛 𝙹𝚄𝙽𝙶𝚆𝙾𝙽

정원이의 스무번째 생일을 맞아 꽃집 이벤트를 진행합니다.

🌹 02.07 - 02.09
🌹 홍대 멜랑쥬

#painting_the_garden
#happyJUNGWONday
#ENHYPEN #JUNGWON
https://t.co/R14cEvtV2q",https://twitter.com/yangzzangz/status/1607678078029029376,,,,2023-02-07,2023-02-09,12:00:00,22:00:00,2
엔하이픈 정원 전시회: Lucky Ducky,서울특별시 중구 명동9길 16 호텔 스카이파크 센트럴 명동점,"⛧

〔 스물, 정원 〕
𝟣𝘴𝘵 𝘱𝘩𝘰𝘵𝘰 𝘦𝘹𝘩𝘪𝘣𝘪𝘵𝘪𝘰𝘯 𝘰𝘧 𝘫𝘶𝘯𝘨𝘸𝘰𝘯

𝟤𝟥.𝟢𝟤.𝟢𝟫 - 𝟤𝟥.𝟢𝟤.𝟣𝟤 𝗂𝗇 𝖲𝖾𝗈𝗎𝗅
-

💌선입금 오픈 : 𝟤𝟤.𝟣𝟤.𝟥𝟢 𝖯𝖬 𝟢𝟤:𝟢𝟫 (𝖪𝖲𝖳)
🔗https://t.co/jEcFeoSbnV
 
#스물_정원
https://t.co/YV7SZ6YdTq",https://twitter.com/ccc_040209/status/1608435037644652544,,,,2023-02-09,2023-02-12,11:00:00,18:00:00,1
엔하이픈 정원 생일 카페: 컬렉션,부산광역시 부산진구 서전로46번길 12 2층 안쪽,"[Web 발신]

★。＼｜／。★ 
Jungwon 20th Anniversary ｡:°ஐ
&lt;lucky meow's 20th magazine&gt; limited!
★。／｜＼。★

📍sales open˳೫˚∗
♧ 23.02.07 - 23.02.09
♧ 카페 컬렉션

#행운가득냥정원 
#LUCKYM20W

#정원 #JUNGWON
https://t.co/ChQulzgb0f",https://twitter.com/luckymeowz/status/1609202762776182784,,,,2023-02-07,2023-02-09,11:00:00,20:00:00,2
엔하이픈 정원 생일 이벤트: 홍대네컷,서울특별시 마포구 양화로21길 37,"영원한 아기고양이 정원이의 생일을 축하하기 위해 인생네컷 프레임 이벤트를 진행합니다 ! ⛲️🏡🪴

ฅ 2023.02.08 - 02.10
ฅ 홍대네컷 연남점

자세한 내용은 아래 이미지를 참고해주세요 ♡̴ 

#ENHYPEN #JUNGWON #엔하이픈 #정원 #양정원 #ジョンウォン
https://t.co/dorYIhGxGW",https://twitter.com/1zzugo/status/1609157442650374147,,,,2023-02-08,2023-02-10,00:00:00,23:59:00,2
엔하이픈 정원 생일 이벤트: 플라워 서화,서울특별시 마포구 양화로18안길 15 4층,"𝐖𝐡𝐢𝐬𝐩𝐞𝐫𝐬 𝐨𝐟 𝐋𝐨𝐯𝐞 、
ʟᴏᴠᴇ, ʜᴀᴘᴘɪɴᴇss, ғᴀɪᴛʜ, ᴀɴᴅ """"ʏᴏᴜ""""

—
엔하이픈 정원의 스무 번째 생일을 축하하기 위해 플라워샵 이벤트를 진행합니다.

—
✿ 𝟐𝟎𝟐𝟑.𝟎𝟐.𝟎𝟖 - 𝟐𝟎𝟐𝟑.𝟎𝟐.𝟎𝟗
✿ 홍대 플라워 서화

#정원이에게_사랑을_속삭임
#ENHYPEN #JUNGWON
https://t.co/QwCrjdWdlb",https://twitter.com/whispers_of_jw/status/1609416438359654400,,,,2023-02-08,2023-02-09,11:00:00,20:30:00,2
엔하이픈 정원 생일 카페: 99트레인,서울특별시 마포구 월드컵북로4길 26 1층,"🌳🐱 ʜᴀᴘᴘʏ ᴊᴜɴɢᴡᴏɴ ᴅᴀʏ 🐱🌳

ෆ̈ 정원이의 스무 번째 생일을 축하하기 위해 생일 카페 이벤트를 준비했습니다!
ෆ̈ 특전 및 자세한 내용은 타래를 참고해 주세요⋆⁺₊✧

❥ 𝟮𝟯.𝟬𝟮.𝟬𝟴 - 𝟮𝟯.𝟬𝟮.𝟭𝟭
❥ 𝟵𝟵 𝘁𝗿𝗮𝗶𝗻 🚂

#정원이의_스물로_레쭈고
#모여봐요_정원의_숲
https://t.co/v6GmAavcWr",https://twitter.com/forestof_jw/status/1609474534259953664,,,,2023-02-08,2023-02-11,11:00:00,21:00:00,2
엔하이픈 정원 생일 카페: 카페 지금여기,서울특별시 마포구 양화로16길 30-5 3층 지금 여기,"❀ℋ𝒶𝓅𝓅𝓎 𝒿𝓊𝓃ℊ𝓌ℴ𝓃 𝒟𝒶𝓎❀

ღ 카페 지금 여기 23.02.09 - 23.02.12

ღ cafe trois 23.02.08 - 23.02.12

ღ guluem 23.02.09 - 23.02.11

자세한 내용은 공지를 참고하세요.

#RT 해주신 분들 중 추첨하여 특전세트를 드립니다

#어제보다_더_빛나는_정원이
https://t.co/RFklvhmbpa",https://twitter.com/periwinkle_jw/status/1609803728751841283,,,,2023-02-09,2023-02-12,11:00:00,20:00:00,2
엔하이픈 정원 생일 카페: 마린커피 빅히트사옥점,서울특별시 용산구 한강대로10길 11-48 1층 마린커피,"𝐖𝐞𝐥𝐜𝐨𝐦𝐞 𝐭𝐨 𝐆𝐀𝐑𝐃𝐄𝐍 𝐇𝐎𝐓𝐄𝐋

정원이의 20번째 생일을 맞이하여
가든호텔로 당신을 초대합니다

☾ 2023.02.08 ~ 2023.02.11
☾ 마린커피 빅히트사옥점

-

#RoomNumber20_9
#영원의_또다른_이름_정원
#ENHYPEN #JUNGWON
https://t.co/2m1wDuoEjN",https://twitter.com/roomnumber209/status/1610644745126121473,,,,2023-02-08,2023-02-11,11:00:00,19:00:00,2
엔하이픈 정원 생일 이벤트: 양정원,서울특별시 마포구 손기정로 11,"𝟮𝟬𝟮𝟯 𝗝𝗨𝗡𝗚𝗪𝗢𝗡 𝗕𝗜𝗥𝗧𝗛𝗗𝗔𝗬 𝗣𝗥𝗢𝗝𝗘𝗖𝗧
_
𝗬𝗔𝗡𝗚𝗝𝗨𝗡𝗚𝗪𝗢𝗡 𝗘𝗩𝗘𝗡𝗧
C͓̽o͓̽o͓̽l͓̽ ͓̽N͓̽y͓̽a͓̽n͓̽g͓̽ ͓̽N͓̽e͓̽v͓̽e͓̽r͓̽ ͓̽G͓̽r͓̽a͓̽d͓̽u͓̽a͓̽t͓̽e͓̽—̳͟͞͞♡

✧ ϩӠ.⊘ϩ.⊘𝟠 ~ ϩӠ.⊘ϩ.𝟙𝟙
✧ 중국집 양정원

#정원생일_HAPPYGARDEN
https://t.co/lcvKyCmA5i",https://twitter.com/yangmangoo/status/1611007263401181184,,,,2023-02-08,2023-02-11,11:20:00,19:00:00,2
엔하이픈 정원 생일 카페: 차품집,"서울특별시 용산구 한강대로10길 11-50 1, 2층 차품집","˖◛⁺˖ 〰︎✍🏻♡

정원이의 스무번째 생일을 기념하여
생일 카페 이벤트를 진행합니다!

☘︎ 차품집
☘︎ 22.02.08 - 22.02.10

#아름답게_피어날_정원이의_스무살
#ENHYPEN #JUNGWON #엔하이픈 #정원 #양정원 #ジョンウォン
https://t.co/ZA6kuSo36H",https://twitter.com/jwtwenty29/status/1611228324025729026,,,,2023-02-08,2023-02-10,11:00:00,19:00:00,2
